,contestId,handle,rank,oldRating,newRating,startTimeSeconds,acceptance_rate,avg_rating,dp,divide and conquer,two pointers,binary search,dfs and similar,dsu,games,sortings,graphs,data structures,brute force,schedules,probabilities,strings,chinese remainder theorem,geometry,bitmasks,implementation,matrices,trees,combinatorics,number theory,constructive algorithms,ternary search,interactive,greedy,shortest paths,math,hashing,flows,string suffix structures,graph matchings,fft,2-sat,*special,meet-in-the-middle,expression parsing,changeRating,date
6831,2108.0,_AdiYadav_,411.0,1912.0,1940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1970-01-01 00:00:00
6843,2106.0,_spicyerinuwu_,58.0,1597.0,1759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1970-01-01 00:00:00
7729,2106.0,dhruvpansuriya05,1051.0,1501.0,1541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1970-01-01 00:00:00
6844,2108.0,_spicyerinuwu_,119.0,1759.0,1902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,1970-01-01 00:00:00
5018,2106.0,shreyk,3689.0,1444.0,1422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,1970-01-01 00:00:00
1436,2108.0,xor_cat,2723.0,1760.0,1696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,1970-01-01 00:00:00
7090,2108.0,-0.50,3481.0,1389.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1970-01-01 00:00:00
7087,2106.0,-0.50,1846.0,1391.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1970-01-01 00:00:00
7039,2108.0,KiloJoule,1323.0,1703.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1970-01-01 00:00:00
6996,2108.0,cwal,751.0,1721.0,1763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1970-01-01 00:00:00
7444,2108.0,Yash_2310,5902.0,1520.0,1434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,1970-01-01 00:00:00
5617,2108.0,limabeans,663.0,1865.0,1876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1970-01-01 00:00:00
1592,2108.0,Daozhin1,5271.0,450.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,1970-01-01 00:00:00
4714,2108.0,xiahou,2829.0,1665.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,1970-01-01 00:00:00
1669,2106.0,Ziad_Ebrahim,555.0,1591.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1970-01-01 00:00:00
5832,2106.0,huhansan,762.0,1396.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1970-01-01 00:00:00
1980,2106.0,becastal,1368.0,1486.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1970-01-01 00:00:00
6941,2106.0,Kota_Aishwarya,15363.0,858.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,1970-01-01 00:00:00
6926,2108.0,mr_warlock,2359.0,1439.0,1468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1970-01-01 00:00:00
6850,2108.0,Elhpycrv,1337.0,1606.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1970-01-01 00:00:00
199,2106.0,jai_hanuman_orz,3459.0,1397.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1970-01-01 00:00:00
5927,2108.0,pegasusz_0013,658.0,1832.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1970-01-01 00:00:00
5082,2108.0,GaurangGupta,5568.0,1576.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0,1970-01-01 00:00:00
2468,2108.0,wusixuan,2475.0,1708.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,1970-01-01 00:00:00
3062,2108.0,_Gawd_,3530.0,1658.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,1970-01-01 00:00:00
5835,2108.0,huhansan,2992.0,1480.0,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1970-01-01 00:00:00
3751,2108.0,amogh_jalan,4538.0,1254.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1970-01-01 00:00:00
3710,2108.0,Toufik,2213.0,1510.0,1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1970-01-01 00:00:00
3707,2106.0,Toufik,3897.0,1570.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,1970-01-01 00:00:00
3476,2106.0,alifjobaer12,13564.0,872.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1970-01-01 00:00:00
3428,2108.0,divija_bajjuri,8074.0,854.0,877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1970-01-01 00:00:00
2440,2108.0,parizz,1808.0,1518.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1970-01-01 00:00:00
946,141.0,Messi,814.0,1457.0,1402.0,1326034800.0,0.25,1066.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,2012-01-08 15:00:00
947,143.0,Messi,521.0,1402.0,1432.0,1326380700.0,0.3529411764705882,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2012-01-12 15:05:00
948,144.0,Messi,67.0,1432.0,1620.0,1326899100.0,0.4210526315789473,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,2012-01-18 15:05:00
949,146.0,Messi,419.0,1620.0,1561.0,1327215600.0,0.5,1241.6666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,2012-01-22 07:00:00
950,148.0,Messi,301.0,1561.0,1576.0,1328198400.0,0.4772727272727273,1252.3809523809523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2012-02-02 16:00:00
951,149.0,Messi,143.0,1576.0,1652.0,1328886000.0,0.46,1243.4782608695652,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,2012-02-10 15:00:00
952,157.0,Messi,539.0,1652.0,1577.0,1330536600.0,0.4561403508771929,1253.8461538461538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,2012-02-29 17:30:00
953,165.0,Messi,628.0,1577.0,1501.0,1331911800.0,0.4210526315789473,1262.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,2.0,1.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,2012-03-16 15:30:00
954,174.0,Messi,404.0,1501.0,1424.0,1333897500.0,0.425,1261.764705882353,0.0,0.0,0.0,1.0,2.0,1.0,0.0,10.0,2.0,1.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,2012-04-08 15:05:00
955,186.0,Messi,263.0,1424.0,1507.0,1336145400.0,0.4130434782608695,1257.8947368421052,1.0,0.0,0.0,1.0,2.0,1.0,0.0,10.0,2.0,1.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,2012-05-04 15:30:00
956,199.0,Messi,523.0,1507.0,1460.0,1340379000.0,0.42,1247.6190476190477,2.0,0.0,0.0,2.0,2.0,1.0,0.0,11.0,2.0,1.0,7.0,0.0,0.0,5.0,0.0,2.0,0.0,25.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,2012-06-22 15:30:00
957,203.0,Messi,95.0,1460.0,1607.0,1341329400.0,0.3981481481481481,1239.5348837209303,2.0,0.0,0.0,2.0,2.0,1.0,0.0,11.0,2.0,1.0,8.0,0.0,0.0,5.0,0.0,2.0,0.0,26.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,2012-07-03 15:30:00
958,214.0,Messi,297.0,1607.0,1578.0,1343662200.0,0.415929203539823,1253.1914893617022,2.0,0.0,0.0,2.0,2.0,1.0,0.0,12.0,2.0,1.0,10.0,0.0,0.0,5.0,0.0,3.0,0.0,29.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,2012-07-30 15:30:00
959,215.0,Messi,361.0,1578.0,1554.0,1344267000.0,0.4083333333333333,1251.0204081632653,2.0,0.0,0.0,2.0,2.0,1.0,0.0,12.0,2.0,1.0,12.0,0.0,0.0,5.0,0.0,3.0,0.0,29.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,2012-08-06 15:30:00
960,219.0,Messi,864.0,1554.0,1471.0,1346081400.0,0.4112903225806452,1245.0980392156862,2.0,0.0,0.0,2.0,2.0,1.0,0.0,12.0,2.0,1.0,13.0,0.0,0.0,5.0,0.0,3.0,0.0,30.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,2012-08-27 15:30:00
961,224.0,Messi,1259.0,1471.0,1385.0,1347809400.0,0.4094488188976378,1240.3846153846157,2.0,0.0,0.0,2.0,2.0,1.0,0.0,12.0,2.0,1.0,13.0,0.0,0.0,6.0,0.0,3.0,0.0,31.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,2012-09-16 15:30:00
962,225.0,Messi,313.0,1385.0,1513.0,1348069500.0,0.3928571428571428,1250.909090909091,2.0,0.0,1.0,2.0,2.0,1.0,0.0,12.0,2.0,2.0,14.0,0.0,0.0,6.0,0.0,4.0,1.0,32.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,14.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,2012-09-19 15:45:00
